	Scan	Voltage (mV)	Current (A)
0	0	-49.3927001953125	4.482269821437575e-11
1	0	-48.52294921875	3.659725625482276e-11
2	0	-47.698974609375	4.106760514588418e-11
3	0	-46.875	3.403425622394755e-11
4	0	-46.051025390625	3.731251207739258e-11
5	0	-45.22705078125	3.0398372459217605e-11
6	0	-44.3572998046875	3.075600037050252e-11
7	0	-43.5333251953125	2.7298930561415025e-11
8	0	-42.7093505859375	2.8312209643388944e-11
9	0	-41.8853759765625	2.7120116605772566e-11
10	0	-41.0614013671875	2.5272372397467186e-11
11	0	-40.191650390625	2.5630000308752097e-11
12	0	-39.36767578125	2.1696093284618053e-11
13	0	-38.543701171875	2.1994116544022146e-11
14	0	-37.7197265625	1.889467464621957e-11
15	0	-36.895751953125	2.1159651417690686e-11
16	0	-36.0260009765625	1.8715860690577113e-11
17	0	-35.2020263671875	1.9609930468789396e-11
18	0	-34.3780517578125	1.5914442052178626e-11
19	0	-33.5540771484375	1.6927721134152545e-11
20	0	-32.7301025390625	1.5020372273966344e-11
21	0	-31.8603515625	1.7464163001079916e-11
22	0	-31.036376953125	1.4424325755158158e-11
23	0	-30.21240234375	1.4543535058919796e-11
24	0	-29.388427734375	1.1742116420521309e-11
25	0	-28.564453125	1.2993814110018506e-11
26	0	-27.6947021484375	1.4543535058919796e-11
27	0	-26.8707275390625	1.0609628034785752e-11
28	0	-26.0467529296875	1.1742116420521309e-11
29	0	-25.2227783203125	9.953976864096744e-12
30	0	-24.3988037109375	1.490116297020471e-11
31	0	-23.529052734375	9.11951173776528e-12
32	0	-22.705078125	1.1801721072402128e-11
33	0	-21.881103515625	7.808209396387266e-12
34	0	-21.05712890625	1.5497209489012896e-11
35	0	-20.233154296875	7.331372181340716e-12
36	0	-19.3634033203125	1.2755395502495228e-11
37	0	-18.5394287109375	5.245209365512057e-12
38	0	-17.7154541015625	1.6391279267225178e-11
39	0	-16.8914794921875	4.708767498584688e-12
40	0	-16.0675048828125	1.579523274841699e-11
41	0	-15.19775390625	2.5630000308752093e-12
42	0	-14.373779296875	1.579523274841699e-11
43	0	-13.5498046875	3.635883764729949e-12
44	0	-12.725830078125	1.7464163001079916e-11
45	0	-11.90185546875	4.351139587299775e-12
46	0	-11.0321044921875	1.513958157772798e-11
47	0	-10.2081298828125	3.874302372253224e-12
48	0	-9.3841552734375	1.3768674584469151e-11
49	0	-8.5601806640625	4.768372150465506e-12
50	0	-7.7362060546875	1.3947488540111607e-11
51	0	-6.9122314453125	6.794930314413347e-12
52	0	-6.04248046875	1.3113023413780142e-11
53	0	-5.218505859375	6.675721010651709e-12
54	0	-4.39453125	9.953976864096744e-12
55	0	-3.570556640625	7.68900009262563e-12
56	0	-2.74658203125	1.1503697812998033e-11
57	0	-1.8768310546875	9.357930345288557e-12
58	0	-1.0528564453125	1.1086465249832303e-11
59	0	-0.2288818359375	9.953976864096744e-12
60	0	0.5950927734375	9.059907085884462e-12
61	0	1.4190673828125	9.715558256573468e-12
62	0	2.288818359375	6.9737442700558035e-12
63	0	3.11279296875	1.1980535028044583e-11
64	0	3.936767578125	7.450581485102355e-12
65	0	4.7607421875	1.3768674584469151e-11
66	0	5.584716796875	5.185604713631238e-12
67	0	6.4544677734375	1.4483930407038976e-11
68	0	7.2784423828125	3.993511676014861e-12
69	0	8.1024169921875	1.525879088148962e-11
70	0	8.9263916015625	4.0531163278956805e-12
71	0	9.7503662109375	1.579523274841699e-11
72	0	10.6201171875	1.3113023413780142e-12
73	0	11.444091796875	1.573562809653617e-11
74	0	12.26806640625	3.635883764729949e-12
75	0	13.092041015625	1.6391279267225178e-11
76	0	13.916015625	2.6822093346368478e-12
77	0	14.7857666015625	1.3530255976945874e-11
78	0	15.6097412109375	4.649162846703869e-12
79	0	16.4337158203125	1.478195366644307e-11
80	0	17.2576904296875	4.947186106107963e-12
81	0	18.0816650390625	1.1205674553593938e-11
82	0	18.951416015625	5.066395409869601e-12
83	0	19.775390625	1.3291837369422599e-11
84	0	20.599365234375	6.3180930993667964e-12
85	0	21.42333984375	1.0311604775381658e-11
86	0	22.247314453125	6.8545349662941655e-12
87	0	23.1170654296875	1.0490418731024113e-11
88	0	23.9410400390625	7.748604744506448e-12
89	0	24.7650146484375	1.019239547162002e-11
90	0	25.5889892578125	6.794930314413347e-12
91	0	26.4129638671875	8.64267452271873e-12
92	0	27.28271484375	8.761883826480367e-12
93	0	28.106689453125	9.298325693407738e-12
94	0	28.9306640625	9.000302434003643e-12
95	0	29.754638671875	8.881093130242006e-12
96	0	30.57861328125	7.62939544074481e-12
97	0	31.4483642578125	8.344651263314635e-12
98	0	32.2723388671875	8.583069870837912e-12
99	0	33.0963134765625	8.761883826480367e-12
100	0	33.9202880859375	9.179116389646101e-12
101	0	34.7442626953125	9.477139649050194e-12
102	0	35.614013671875	7.927418700148905e-12
103	0	36.43798828125	9.059907085884462e-12
104	0	37.261962890625	7.927418700148905e-12
105	0	38.0859375	1.0788441990428208e-11
106	0	38.909912109375	7.152558225698259e-12
107	0	39.7796630859375	1.2516976894971954e-11
108	0	40.6036376953125	5.960465188081883e-12
109	0	41.4276123046875	1.2934209458137686e-11
110	0	42.2515869140625	3.874302372253224e-12
111	0	43.0755615234375	1.3053418761899323e-11
112	0	43.8995361328125	3.993511676014861e-12
113	0	44.769287109375	1.4841558318323888e-11
114	0	45.59326171875	3.814697720372405e-12
115	0	46.417236328125	1.573562809653617e-11
116	0	47.2412109375	2.086162815828659e-12
117	0	48.065185546875	1.525879088148962e-11
118	0	48.9349365234375	1.6689302526629272e-12
119	0	49.7589111328125	1.7762186260484012e-11
120	0	50.5828857421875	3.218651201564217e-12
121	0	51.4068603515625	1.573562809653617e-11
122	0	52.2308349609375	1.6093256007821084e-12
123	0	53.1005859375	1.7046930437914186e-11
124	0	53.924560546875	4.529953542942231e-12
125	0	54.74853515625	1.585483740029781e-11
126	0	55.572509765625	3.0994418978025792e-12
127	0	56.396484375	1.6033651355940266e-11
128	0	57.2662353515625	6.139279143724339e-12
129	0	58.0902099609375	1.5437604837132077e-11
130	0	58.9141845703125	4.708767498584688e-12
131	0	59.7381591796875	1.2457372243091134e-11
132	0	60.5621337890625	8.64267452271873e-12
133	0	61.431884765625	1.1742116420521309e-11
134	0	62.255859375	7.390976833221535e-12
135	0	63.079833984375	9.238721041526918e-12
136	0	63.90380859375	1.0013581515977563e-11
137	0	64.727783203125	1.019239547162002e-11
138	0	65.5975341796875	1.0371209427262476e-11
139	0	66.4215087890625	6.735325662532528e-12
140	0	67.2454833984375	1.2695790850614411e-11
141	0	68.0694580078125	7.927418700148905e-12
142	0	68.8934326171875	1.4483930407038976e-11
143	0	69.76318359375	6.377697751247614e-12
144	0	70.587158203125	1.4007093191992424e-11
145	0	71.4111328125	4.529953542942231e-12
146	0	72.235107421875	1.6033651355940266e-11
147	0	73.05908203125	6.258488447485977e-12
148	0	73.9288330078125	1.6450883919105997e-11
149	0	74.7528076171875	6.9737442700558035e-12
150	0	75.5767822265625	1.4126302495754063e-11
151	0	76.4007568359375	5.960465188081883e-12
152	0	77.2247314453125	1.4185907147634881e-11
153	0	78.094482421875	7.271767529459898e-12
154	0	78.91845703125	1.4007093191992424e-11
155	0	79.742431640625	8.523465218957093e-12
156	0	80.56640625	1.1265279205474758e-11
157	0	81.390380859375	8.344651263314635e-12
158	0	82.2601318359375	1.0252000123500837e-11
159	0	83.0841064453125	1.0788441990428208e-11
160	0	83.9080810546875	9.536744300931012e-12
161	0	84.7320556640625	1.3172628065660962e-11
162	0	85.5560302734375	6.9737442700558035e-12
163	0	86.42578125	1.3887883888230787e-11
164	0	87.249755859375	4.4703488910614116e-12
165	0	88.07373046875	1.4960767622085525e-11
166	0	88.897705078125	6.675721010651709e-12
167	0	89.7216796875	1.6033651355940266e-11
168	0	90.5914306640625	4.947186106107963e-12
169	0	91.4154052734375	1.3351442021303418e-11
170	0	92.2393798828125	6.3180930993667964e-12
171	0	93.0633544921875	1.4483930407038976e-11
172	0	93.8873291015625	7.867814048268085e-12
173	0	94.757080078125	1.1920930376163766e-11
174	0	95.5810546875	7.68900009262563e-12
175	0	96.405029296875	1.2636186198733593e-11
176	0	97.22900390625	9.11951173776528e-12
177	0	98.052978515625	1.0550023382904932e-11
178	0	98.876953125	9.357930345288557e-12
179	0	99.7467041015625	1.1622907116759672e-11
180	0	100.5706787109375	1.1622907116759672e-11
181	0	101.3946533203125	8.046628003910542e-12
182	0	102.2186279296875	1.2040139679925404e-11
183	0	103.0426025390625	9.655953604692651e-12
184	0	103.912353515625	1.537800018525126e-11
185	0	104.736328125	6.07967449184352e-12
186	0	105.560302734375	1.4245511799515702e-11
187	0	106.38427734375	4.4703488910614116e-12
188	0	107.208251953125	1.7762186260484012e-11
189	0	108.0780029296875	5.602837276796969e-12
