	Scan	Voltage (mV)	Current (A)
0	0	-49.62158203125	-5.387664483507214e-12
1	0	-49.25537109375	-5.160570759841295e-12
2	0	-48.9349365234375	-5.126596108269227e-12
3	0	-48.614501953125	-5.038977270004424e-12
4	0	-48.2940673828125	-5.0193077348837536e-12
5	0	-47.9278564453125	-4.854798895692694e-12
6	0	-47.607421875	-4.8333412210155994e-12
7	0	-47.2869873046875	-4.78684959254856e-12
8	0	-46.966552734375	-4.7314172662993986e-12
9	0	-46.600341796875	-4.722476568517276e-12
10	0	-46.2799072265625	-4.708171452065879e-12
11	0	-45.95947265625	-4.6080356369061034e-12
12	0	-45.59326171875	-4.561544008439065e-12
13	0	-45.2728271484375	-4.515052379972026e-12
14	0	-44.952392578125	-4.574060985334037e-12
15	0	-44.6319580078125	-4.523993077754149e-12
16	0	-44.2657470703125	-4.468560751504988e-12
17	0	-43.9453125	-4.400611448360854e-12
18	0	-43.6248779296875	-4.391670750578731e-12
19	0	-43.304443359375	-4.4167047043686755e-12
20	0	-42.938232421875	-4.3237214474345976e-12
21	0	-42.6177978515625	-4.295111214531805e-12
22	0	-42.29736328125	-4.309416330983202e-12
23	0	-41.9769287109375	-4.2754416794111345e-12
24	0	-41.6107177734375	-4.2968993540882295e-12
25	0	-41.290283203125	-4.196763538928454e-12
26	0	-40.9698486328125	-4.178882143364208e-12
27	0	-40.6036376953125	-4.1949753993720295e-12
28	0	-40.283203125	-4.1949753993720295e-12
29	0	-39.9627685546875	-4.116297258889348e-12
30	0	-39.642333984375	-4.080534467760857e-12
31	0	-39.276123046875	-4.085898886430131e-12
32	0	-38.9556884765625	-4.080534467760857e-12
33	0	-38.63525390625	-4.055500513970913e-12
34	0	-38.3148193359375	-4.059076793083762e-12
35	0	-37.9486083984375	-3.962517257036836e-12
36	0	-37.628173828125	-3.9517884196982884e-12
37	0	-37.3077392578125	-3.989339350383205e-12
38	0	-36.9873046875	-3.9517884196982884e-12
39	0	-36.62109375	-3.962517257036836e-12
40	0	-36.3006591796875	-3.928542605464769e-12
41	0	-35.980224609375	-3.851652604538513e-12
42	0	-35.614013671875	-3.849864464982088e-12
43	0	-35.2935791015625	-3.84271190675639e-12
44	0	-34.97314453125	-3.8141016738535966e-12
45	0	-34.6527099609375	-3.812313534297172e-12
46	0	-34.2864990234375	-3.7783388827251056e-12
47	0	-33.966064453125	-3.7872795805072285e-12
48	0	-33.6456298828125	-3.728270975145218e-12
49	0	-33.3251953125	-3.7300591147016424e-12
50	0	-32.958984375	-3.728270975145218e-12
51	0	-32.6385498046875	-3.674626788452481e-12
52	0	-32.318115234375	-3.710389579580972e-12
53	0	-31.9976806640625	-3.687143765347453e-12
54	0	-31.6314697265625	-3.647804695106113e-12
55	0	-31.31103515625	-3.6227707413161686e-12
56	0	-30.9906005859375	-3.6334995786547158e-12
57	0	-30.670166015625	-3.579855391961979e-12
58	0	-30.303955078125	-3.5780672524055543e-12
59	0	-29.9835205078125	-3.846288185869239e-12
60	0	-29.6630859375	-3.955364698811138e-12
61	0	-29.296875	-3.5083298097049964e-12
62	0	-28.9764404296875	-3.5119060888178452e-12
63	0	-28.656005859375	-3.4672025999072313e-12
64	0	-28.3355712890625	-3.5262112052692415e-12
65	0	-27.9693603515625	-3.4815077163586276e-12
66	0	-27.64892578125	-3.413558413214494e-12
67	0	-27.3284912109375	-3.4368042274480136e-12
68	0	-27.008056640625	-3.4207109714401927e-12
69	0	-26.641845703125	-3.406405854988796e-12
70	0	-26.3214111328125	-3.390312598980975e-12
71	0	-26.0009765625	-3.3634905056346066e-12
72	0	-25.6805419921875	-3.3330921331753886e-12
73	0	-25.3143310546875	-3.3545498078524837e-12
74	0	-24.993896484375	-3.3438209705139365e-12
75	0	-24.6734619140625	-3.2883886442647746e-12
76	0	-24.3072509765625	-3.257990271805557e-12
77	0	-23.98681640625	-3.3473972496267857e-12
78	0	-23.6663818359375	-3.2365325971284627e-12
79	0	-23.345947265625	-3.2615665509184066e-12
80	0	-22.979736328125	-3.2240156202334906e-12
81	0	-22.6593017578125	-3.1882528291049996e-12
82	0	-22.3388671875	-3.209710503782094e-12
83	0	-22.0184326171875	-3.24726143446701e-12
84	0	-21.6522216796875	-3.143549340194385e-12
85	0	-21.331787109375	-3.1417612006379602e-12
86	0	-21.0113525390625	-3.114939107291592e-12
87	0	-20.69091796875	-3.138184921525111e-12
88	0	-20.32470703125	-3.114939107291592e-12
89	0	-20.0042724609375	-3.131032363299413e-12
90	0	-19.683837890625	-3.0899051535016483e-12
91	0	-19.317626953125	-3.0577186414860057e-12
92	0	-18.9971923828125	-3.0595067810424303e-12
93	0	-18.6767578125	-3.0434135250346094e-12
94	0	-18.3563232421875	-3.02016771080109e-12
95	0	-17.9901123046875	-3.0505660832603077e-12
96	0	-17.669677734375	-2.9915574778982967e-12
97	0	-17.3492431640625	-3.011227013018967e-12
98	0	-17.02880859375	-2.93791329120556e-12
99	0	-16.66259765625	-2.9647353845519286e-12
100	0	-16.3421630859375	-2.9307607329798618e-12
101	0	-16.021728515625	-2.9522184076569565e-12
102	0	-15.7012939453125	-2.9075149187463425e-12
